motivationalquote
"BELIEVE YOU CAN AND YOU'RE HALFWAY THERE."
"YOUR LIMITATION—IT'S ONLY YOUR IMAGINATION."
"PUSH YOURSELF, BECAUSE NO ONE ELSE IS GOING TO DO IT FOR YOU."
"GREAT THINGS NEVER COME FROM COMFORT ZONES."
"DREAM IT. WISH IT. DO IT."
"SUCCESS DOESN’T JUST FIND YOU. YOU HAVE TO GO OUT AND GET IT."
"THE HARDER YOU WORK FOR SOMETHING, THE GREATER YOU’LL FEEL WHEN YOU ACHIEVE IT."
"DREAM BIGGER. DO BIGGER."
"DON’T STOP WHEN YOU’RE TIRED. STOP WHEN YOU’RE DONE."
"WAKE UP WITH DETERMINATION. GO TO BED WITH SATISFACTION."
